,Word,ConcRating,Mean Sharedness,Absolute Sharedness,Most Rel Words,Sem Feats
32395,tilt,4.04,3.6,"[8, 4, 2, 1, 3]","['find', 'zoom', 'emit', 'slid', 'lens']","['intentional_accidental_unintentional_accidentally_intentionally', 'photography_cameras_used_cinematography_camera', 'inclined_inclination_position_angled_tilt', 'orientation_horizontal_changes_angle_object', 'measured_degrees_thermometers_fahrenheit_celsius']"
14549,haze,4.04,3.7777777777777777,"[4, 2, 6, 4, 4, 6, 2, 2, 4]","['smog', 'mist', 'hazy', 'dusk', 'mite']","['air_pollution_quality_affects_contribute', 'weather_phenomenon_gusts_tornadoes_phenomena', 'visibility_reduces_limited_enables_allows', 'particles_fine_composed_particulate_small', 'dust_dusty_smoke_surface_covered', 'morning_evening_afternoon_occurs_night', 'pollution_levels_rural_higher_experiences', 'respiratory_problems_cause_breathing_issues', 'occurs_occur_erogenous_zone_urban']"
27108,rise,4.04,4,"[7, 3, 3, 5, 2]","['gain', 'tide', 'chop', 'port', 'more']","['sun_sunrise_sunset_sunsets_obscures', 'downward_upward_movement_force_motion', 'increase_increases_increased_amount_value', 'tides_tidal_currents_affected_affects', 'economic_growth_affected_activity_conditions']"
19029,luau,4.04,4.125,"[7, 3, 3, 4, 3, 8, 1, 4]","['fest', 'noel', 'bash', 'stew', 'gala']","['celebration_celebrations_celebrated_celebrates_commemorate', 'hawaiian_hawaii_feast_traditional_guests', 'pig_piggy_kalua_fed_banks', 'outdoors_outdoor_activities_held_activity', 'costumes_costume_elaborate_leis_props', 'served_meals_meal_rice_often', 'decor_decorations_tropical_decorated_decorum', 'dancing_music_includes_include_flicks']"
11503,fall,4.04,4.125,"[3, 12, 5, 4, 2, 4, 2, 1]","['july', 'june', 'pine', 'deer', 'bush']","['seasonal_seasonally_season_summer_winter', 'leaves_edible_trees_needle_buds', 'color_changes_change_colors_leaves', 'year_school_end_academic_many', 'harvest_season_crops_many_time', 'daylight_shadows_shortest_shorter_changes', 'migrates_seasonally_migration_seasonal_migrate', 'festivals_festive_events_celebrated_holi']"
10809,etch,4.04,4.6,"[5, 6, 8, 3, 1]","['ream', 'dish', 'knit', 'sand', 'cyan']","['patterns_designs_pattern_design_puzzle', 'metal_metallic_metals_heavy_steel', 'printing_used_ink_printmaking_cartridge', 'glass_cleaner_windows_stained_done', 'lines_straight_fine_creates_string']"
22379,oval,4.04,4.714285714285714,"[8, 5, 6, 6, 3, 2, 3]","['dime', 'face', 'inks', 'cone', 'maze']","['circular_shape_circle_resembles_elongated', 'shape_geometric_defined_object_shapes', 'curved_shape_curvature_curves_surface', 'art_used_painting_drawing_sculptures', 'symmetrical_symmetric_asymmetrical_bilaterally_two', 'vertices_corners_12_vertex_edges', 'dimensional_three_two_3d_2d']"
7443,cyan,4.04,5,"[8, 6, 3, 6, 2]","['blue', 'teal', 'etch', 'ease', 'jean']","['printing_used_ink_printmaking_cartridge', 'blue_green_color_shade_dark', 'tranquility_tranquil_sense_calmness_associated', 'color_colored_hair_zygote_fathering', 'color_colors_model_subtractive_primary']"
15491,hymn,4.04,5.2,"[11, 3, 4, 5, 5, 9, 3, 5, 5, 2]","['sang', 'song', 'tune', 'amen', 'riff']","['ceremonies_rituals_used_religious_celebrations', 'verses_chorus_stanzas_hymnals_found', 'religious_used_worship_contexts_islam', 'lyrics_address_issues_chorus_political', 'sung_congregation_carols_choir_singing', 'instruments_played_accompanied_musical_piano', 'praise_god_means_graced_gracious', 'song_songs_sings_melodically_complex', 'melody_melodic_melodies_sounds_produces', 'liturgy_liturgical_period_christian_part']"
12263,flog,4.04,7.142857142857143,"[6, 20, 6, 4, 6, 3, 5]","['slap', 'obey', 'like', 'seem', 'veer']","['discipline_disciplinary_actions_emphasizes_handles', 'verb_form_english_language_zygote', 'criticism_sensitive_criticized_critique_critics', 'punishment_form_torture_used_historically', 'pain_cause_discomfort_causes_emotional', 'marks_leave_scratches_leaves_scars', 'hit_strike_means_failure_reach']"
19575,maul,4.04,8,"[7, 13, 16, 18, 6, 3, 4, 3, 2]","['axes', 'vice', 'pick', 'rasp', 'nail']","['woodworking_carpentry_used_timber_forestry', 'tool_categorized_garden_instrument_hand', 'handle_long_handles_knob_leverage', 'wood_metal_made_plastic_materials', 'sides_two_sided_side_six', 'strength_requires_effort_physical_required', 'head_heavy_forehead_metal_weighted', 'end_ends_pointed_two_flat', 'splitting_wood_used_split_shaping']"
23990,poem,4.03,2.75,"[2, 3, 5, 2, 4, 3, 1, 2]","['poet', 'song', 'grad', 'doom', 'lyre']","['literature_used_books_contexts_literary', 'verses_chorus_stanzas_hymnals_found', 'poetry_literature_poetic_used_rhyme', 'metaphorical_metaphors_similes_metaphorically_figurative', 'story_stories_tell_tells_convey', 'poetry_writes_literary_songwriters_publish', 'cultural_reflects_values_beliefs_culture', 'speeches_speaker_recited_speaking_spoken']"
29282,slum,4.03,3.0833333333333335,"[5, 5, 4, 4, 3, 4, 2, 2, 3, 2, 2, 1]","['poor', 'aids', 'city', 'town', 'lung']","['crime_criminal_rates_severity_associated', 'community_sense_communities_gathering_promotes', 'housing_homeless_substandard_residents_students', 'water_requires_watering_food_needs', 'stigma_stigmatized_social_faces_discrimination', 'diseases_disease_affected_pneumonia_prone', 'infrastructure_outlets_may_electrical_inadequate', 'population_populated_densely_density_area', 'urban_areas_towns_area_city', 'economy_economic_local_economies_informal', 'poverty_characterized_deprivation_socioeconomic_vows', 'sanitation_services_hygienic_lacks_requires']"
14301,halo,4.03,3.6666666666666665,"[3, 5, 5, 3, 5, 1]","['reek', 'hood', 'neck', 'nape', 'pope']","['metaphorically_used_describe_often_metaphorical', 'head_covers_wedge_supports_connects', 'light_attracted_ray_rays_circular', 'holiness_sanctity_his_holy_symbolizes', 'art_depicted_literature_paintings_arts', 'angels_saints_associated_angelus_prays']"
9302,dive,4.03,4.5,"[10, 3, 6, 2, 4, 2]","['flip', 'reef', 'pool', 'coma', 'yogi']","['breath_breathing_control_requires_holding', 'maneuvers_acrobatic_acrobatics_maneuver_maneuvering', 'diving_dives_board_scuba_fish', 'action_behavior_state_singular_series', 'water_extends_repels_rainwater_involves', 'techniques_technique_mig_tig_various']"
23078,pave,4.03,4.666666666666667,"[7, 3, 4]","['city', 'road', 'town', 'laid', 'toll']","['surface_surfaces_tension_object_driven', 'asphalt_concrete_gravel_materials_stones', 'roads_infrastructure_bridges_highways_connected']"
33285,tyke,4,2.25,"[3, 4, 1, 1]","['kids', 'tame', 'babe', 'baby', 'doll']","['dependent_adults_care_dependents_filings', 'young_child_human_humans_newborn', 'supervision_requires_management_supervised_control', 'curious_curiosity_neat_nature_learning']"
21729,nuke,4,2.4166666666666665,"[2, 3, 3, 3, 4, 2, 2, 3, 2, 1, 2, 2]","['bomb', 'bang', 'mace', 'star', 'coup']","['fallout_desertification_nuclear_lead_radioactive', 'destruction_collapse_cause_destroys_massive', 'smoke_fog_vapor_cloud_mushroom', 'weapon_nuclear_destruction_weapons_ancient', 'explosions_explosion_explosive_detonation_detonator', 'fusion_nuclear_undergoes_fission_reactor', 'magnetic_generates_pulse_electromagnetic_field', 'aircraft_missiles_carriers_airplanes_delivered', 'requires_power_electricity_plutonium_uranium', 'energy_releases_stores_kinetic_expends', 'environmental_impact_damage_cause_pollution', 'treaties_sanctions_international_condemnation_trigger']"
19030,lube,4,3.6666666666666665,"[3, 5, 3, 1, 3, 2, 3, 5, 7, 3, 3, 6]","['glue', 'inks', 'oily', 'ooze', 'bolt']","['lubrication_lubricant_lubricants_oil_used', 'friction_reduces_involves_created_caused', 'liquid_form_comes_gel_pills', 'oil_based_petroleum_produce_derived', 'water_based_solvent_silicone_hydrophobic', 'tubes_bottles_packaged_comes_sticks', 'slippery_surfaces_texture_slick_surface', 'sexual_activity_explicit_behaviors_intercourse', 'viscous_substance_viscosity_liquid_substances', 'machinery_used_engines_functions_vacuum', 'rust_corrode_prevent_prevents_treated', 'synthetic_natural_organic_candy_grass']"
33191,turd,4,3.875,"[9, 6, 6, 2, 4, 1, 1, 2]","['poop', 'crap', 'dung', 'dump', 'shit']","['biodegradable_options_available_depending_lifecycle', 'fertilizer_used_agriculture_fertilizers_soil', 'excreted_body_excretion_decompose_animals', 'solid_state_sturdy_dashed_stranded', 'disposal_waste_sewage_method_dump', 'smell_unpleasant_foul_musty_smelled', 'health_status_indicate_indicates_indicator', 'attracts_insects_flies_birds_scavengers']"
32393,till,4,4,"[5, 4, 3, 4]","['tote', 'cart', 'case', 'stow', 'room']","['compartments_compartment_inside_pockets_tray', 'key_combination_keys_keyboard_opened', 'shopping_used_cashiers_retail_mini', 'drawers_furnished_storage_drawer_desks']"
4138,call,4,4,"[2, 4, 5, 4, 5]","['item', 'sung', 'rape', 'band', 'lace']","['occur_happen_private_spontaneously_various', 'handmade_made_machine_manufactured_telephone', 'recorded_record_later_history_public', 'video_multimedia_audio_videos_images', 'scheduled_schedule_schedules_unscheduled_appointments']"
22055,ooze,4,4.166666666666667,"[7, 4, 5, 4, 3, 2]","['glob', 'soil', 'mold', 'glop', 'reed']","['viscous_substance_viscosity_liquid_substances', 'decay_spoilage_decomposition_associated_result', 'sticky_side_non_notes_stick', 'wetlands_marshes_swamps_grows_found', 'organic_matter_contains_inorganic_composed', 'hazardous_health_environment_harmful_potentially']"
36553,wipe,4,4.2,"[5, 7, 2, 5, 2]","['soap', 'wash', 'lube', 'drag', 'skid']","['friction_reduces_involves_created_caused', 'hygiene_used_cleaning_smelling_personal', 'disinfectants_disinfects_killed_disinfectant_cleansers', 'cleaning_cleans_services_provides_cleansing', 'dirt_removes_grime_dust_surfaces']"
29113,slam,4,4.25,"[5, 5, 4, 3]","['cuss', 'whip', 'swag', 'hail', 'fray']","['damage_cause_result_tissue_joint', 'noise_sound_loud_produces_cracking', 'doors_windows_containers_refer_associated', 'anger_frustration_express_expresses_indicate']"
13775,gram,4,4.714285714285714,"[5, 3, 3, 2, 5, 2, 13]","['kilo', 'pint', 'heft', 'flag', 'load']","['mass_unit_small_mc_energy', 'metric_system_kilograms_prefix_used', 'kilograms_pounds_measured_kilogram_equals', 'ingredients_recipes_purity_karats_measure', 'measure_used_measuring_measurements_blood', 'ounces_equals_fluid_16_converted', 'symbol_symbolized_ne_pb_zn']"
1946,auto,4,4.75,"[9, 5, 6, 5, 6, 4, 5, 5, 6, 1, 3, 2]","['sled', 'taxi', 'room', 'lift', 'helm']","['door_doors_open_opening_four', 'license_driver_licensed_operate_requires', 'vehicle_automobile_road_part_car', 'trunk_storage_woody_luggage_car', 'wheels_wheel_rim_tiller_bearings', 'fuel_electricity_gasoline_fossil_biomass', 'steering_steered_rudder_wheel_controlling', 'safety_accidents_airbags_precautions_seatbelts', 'lighting_headlights_skylights_lights_equipped', 'powered_engine_engines_combustion_internal', 'seat_seats_flat_platform_saddle', 'emissions_exhaust_produces_vehicle_industrial']"
9793,duke,4,4.846153846153846,"[10, 4, 6, 3, 4, 4, 10, 6, 5, 2, 3, 4, 2]","['lord', 'earl', 'dame', 'tsar', 'grad']","['attire_formal_dressed_wears_part', 'aristocracy_nobility_feudal_royalty_associated', 'title_nobility_ruler_woman_noble', 'peerage_system_british_honours_part', 'land_estate_owns_property_estates', 'coat_arms_thick_wears_white', 'charitable_charity_philanthropy_philanthropic_charities', 'ceremonies_ceremony_ceremonial_associated_involved', 'monarch_monarchy_royalty_royal_kingdom', 'inherits_inheritance_title_inherit_monarch', 'military_soldiers_forces_infantry_national', 'addressed_your_majesty_lord_grace', 'influence_political_campaigns_global_influenced']"
32446,tint,4,5.428571428571429,"[9, 9, 3, 6, 5, 3, 3]","['inks', 'bush', 'lack', 'lead', 'wall']","['permanent_temporary_persistent_lasting_semi', 'privacy_provides_offers_laws_security', 'sun_sunburn_sunlight_uv_protection', 'art_used_painting_drawing_sculptures', 'colors_comes_various_different_patterns', 'dark_color_darker_black_light', 'color_shade_colors_used_describe']"
35747,vise,4,5.5,"[11, 6, 13, 2, 4, 2, 3, 3]","['vice', 'rasp', 'hook', 'tong', 'comb']","['metal_made_father_fatale_fatales', 'metalworking_used_welding_soldering_blacksmithing', 'tool_categorized_garden_instrument_hand', 'jaws_parallel_two_double_chin', 'operated_screw_mechanism_lever_operates', 'workbench_mounted_workbenches_typically_usually', 'pressure_applies_resistant_withstand_applied', 'hanging_used_objects_hold_holding']"
2563,beep,4,6,"[4, 12, 4, 5, 8, 3]","['toil', 'task', 'jeep', 'echo', 'fizz']","['alertness_alert_alarm_alarms_notification', 'sound_quality_zygote_father_fatale', 'pitched_high_sound_sharp_noise', 'emits_light_radiation_emitted_emission', 'vehicles_used_bicycles_road_off', 'repetitive_unique_often_repetitiveness_repetitively']"
25240,purr,4,6,"[12, 5, 5, 4, 4]","['thud', 'hoot', 'yelp', 'puss', 'hiss']","['sound_quality_zygote_father_fatale', 'made_cats_animals_birds_humans', 'vibrations_vibration_shuddering_absorbs_detecting', 'contentment_content_purrs_indicates_sense', 'pet_pets_cat_kept_cats']"
30815,stud,4,7.75,"[17, 9, 2, 3]","['bolt', 'bomb', 'ramp', 'rope', 'nail']","['construction_used_sites_building_demolition', 'jewelry_used_earrings_piece_making', 'fastener_type_functions_small_father', 'support_structural_provides_supports_poles']"
2500,beat,3.97,3.25,"[4, 5, 4, 4, 2, 2, 1, 4]","['pace', 'drum', 'pain', 'clap', 'task']","['rhythmic_pattern_tuned_ticklish_groove', 'song_songs_sings_melodically_complex', 'tempo_music_paced_tempos_fast', 'complex_simple_complicated_intricate_multifaceted', 'percussion_drum_drums_snares_instrument', 'slow_fast_rapid_laborious_slower', 'measure_bpm_beats_minute_time', 'intensity_varies_vary_duration_mild']"
25148,pull,3.97,3.8333333333333335,"[7, 4, 4, 4, 3, 1]","['turn', 'deep', 'onto', 'axis', 'bale']","['direction_clockwise_cardinal_directional_counterclockwise', 'ropes_rope_wire_twine_lines', 'hands_done_performed_hand_one', 'distance_diminishes_measures_time_measured', 'doors_open_used_knocking_close', 'push_opposite_envelope_pull_limits']"
28719,show,3.97,3.909090909090909,"[5, 5, 6, 4, 4, 2, 3, 4, 4, 3, 3]","['skit', 'play', 'plot', 'game', 'film']","['audience_audiences_entertains_participation_interactive', 'narrative_narratives_long_story_poem', 'entertainment_form_adult_industry_entertain', 'live_recorded_performed_albums_perform', 'broadcasted_television_broadcast_online_streamed', 'auditory_visual_textual_elements_monocular', 'theaters_entertainment_comedy_theater_movies', 'educational_informational_learning_instructive_informative', 'ticket_tickets_entry_require_ticketed', 'performers_performer_interpretation_performances_female', 'stage_theatrical_performances_performance_actors']"
9619,draw,3.97,4,"[2, 4, 10, 3, 2, 3, 4]","['drew', 'scan', 'blot', 'grid', 'menu']","['hobby_profession_occupation_skill_professional', 'coordination_eye_hand_requires_good', 'digital_analog_physical_digitally_page', 'image_images_producing_creates_diagrams', 'paper_canvas_done_loom_various', 'drawing_tools_graphic_sketching_pencils', 'art_artwork_artistic_used_artistically']"
12238,flip,3.97,4,"[5, 3, 2, 6, 4]","['dive', 'turn', 'slot', 'cent', 'spin']","['coin_coins_side_penny_national', 'maneuvers_acrobatic_acrobatics_maneuver_maneuvering', 'turning_turn_turns_something_refer', 'diving_dives_board_scuba_fish', 'rotation_rotational_involves_spinning_angular']"
33025,trio,3.97,4.6,"[6, 2, 9, 3, 3]","['band', 'duet', 'opus', 'tune', 'sect']","['group_people_dynamics_collective_carried', 'three_wise_people_men_trio', 'instruments_played_accompanied_musical_piano', 'harmony_harmonies_harmonious_include_parts', 'music_artists_performed_musicians_collaborate']"
21981,ogre,3.97,4.666666666666667,"[10, 5, 3, 2, 1, 7]","['yeti', 'huge', 'mate', 'lore', 'girl']","['folklore_mythology_mythical_creature_myths', 'human_humanoid_settlement_powered_animal', 'strength_physical_superhuman_great_strengths', 'isolated_isolation_lives_areas_ship', 'eaten_humans_animals_consumed_eats', 'large_size_extremely_stature_cat']"
19736,melt,3.96,2,"[3, 2, 1, 2]","['bond', 'thaw', 'atom', 'wilt', 'zing']","['bonds_chemical_atoms_molecules_forms', 'liquid_solid_change_state_changes', 'rigidity_rigid_mortis_rigor_structure', 'reversible_reversed_freezing_intervention_proper']"
14921,hind,3.96,3,"[5, 1, 3, 3]","['hoof', 'tail', 'rump', 'walk', 'fore']","['animal_part_anatomy_located_rear', 'quadrupedal_quadrupeds_quadruped_legs_quadrangle', 'locomotion_form_locomotive_cheetahs_sprinting', 'back_front_part_something_backside']"
23445,pest,3.96,3.375,"[3, 2, 7, 4, 2, 4, 2, 3]","['smut', 'mice', 'buzz', 'gnaw', 'dung']","['spread_diseases_disease_spreads_prevents', 'nuisance_hikers_gardeners_pets_unwanted', 'insect_insects_creepy_presence_crawlies', 'rodents_rodent_hunts_mice_catches', 'infest_homes_invades_animals_crops', 'reproduce_reproduces_quickly_rapidly_able', 'pesticides_fungicides_herbicides_resistant_treated', 'crops_crop_yield_damage_affects']"
904,alum,3.96,3.6666666666666665,"[3, 6, 5, 3, 6, 2, 3, 3, 2]","['aloe', 'oats', 'salt', 'pump', 'hose']","['medicinal_properties_astringent_inflammatory_anti', 'used_cosmetics_products_skincare_lips', 'baking_used_powder_bread_pastries', 'sour_taste_bitter_sourness_smell', 'water_used_plumbing_accessing_purification', 'compound_chemical_compounds_combination_single', 'powdered_form_comes_powder_crystal', 'soluble_water_dissolve_dissolved_solution', 'dyeing_dyes_dye_natural_process']"
6904,cowl,3.96,3.75,"[13, 4, 2, 2, 3, 2, 1, 3]","['jean', 'serf', 'tutu', 'monk', 'tent']","['fabric_made_tulle_cloth_denim', 'neck_necks_covers_located_back', 'robes_wears_monks_priests_worn', 'clothing_type_garment_traditional_scottish', 'medieval_times_lived_fantasy_often', 'superheroes_superhero_comics_marvel_costumes', 'pulled_buttoned_lowered_hoisted_needed', 'cold_snow_used_winter_weather']"
6613,core,3.96,4.25,"[5, 4, 3, 5]","['data', 'tier', 'clad', 'bush', 'hack']","['layer_layers_layering_subsoil_innermost', 'computers_processing_computer_processed_executed', 'central_primary_issue_aspect_main', 'fruit_fruits_berries_bear_apple']"
36965,yeti,3.96,4.5,"[3, 10, 3, 7, 4, 7, 1, 1]","['ogre', 'trod', 'vast', 'wand', 'huge']","['footprints_leave_leaves_leaving_large', 'folklore_mythology_mythical_creature_myths', 'humans_animals_ape_mammals_seen', 'fur_covered_hunted_coat_farmed', 'winter_cold_climates_snow_associated', 'large_size_extremely_stature_cat', 'elusive_rarely_seen_fleeting_infrequently', 'bipedal_bivalve_humans_considered_often']"
9414,dojo,3.96,4.666666666666667,"[5, 2, 3, 4, 6, 8]","['judo', 'obey', 'pray', 'shag', 'whiz']","['belt_loops_belts_rank_ranks', 'martial_arts_judo_art_ijf', 'carpet_mats_floor_dense_type', 'expertise_sensei_instructor_expert_field', 'discipline_disciplinary_actions_emphasizes_handles', 'meditation_mindfulness_meditates_meditative_watchfulness']"
32638,toss,3.96,4.666666666666667,"[9, 4, 1]","['judo', 'dome', 'turf', 'hurl', 'ball']","['sports_used_hockey_basketball_games', 'throwing_throw_thrown_throwable_throws', 'underhand_overhand_underhanded_overhanded_done']"
13749,grad,3.96,5,"[2, 10, 6, 7, 6, 2, 2]","['duke', 'nerd', 'gent', 'poem', 'dean']","['speeches_speaker_recited_speaking_spoken', 'attire_formal_dressed_wears_part', 'career_professional_development_opportunities_advancement', 'celebration_celebrations_celebrated_celebrates_commemorate', 'ceremonies_ceremony_ceremonial_associated_involved', 'degree_diploma_graduation_completed_completion', 'symbolizes_achievement_status_academic_represents']"
2471,beam,3.96,6,"[7, 1, 17, 5, 4, 2]","['bent', 'flex', 'clay', 'rock', 'arch']","['bending_bend_bent_twisting_easily', 'structural_component_element_components_hardware', 'construction_used_sites_building_demolition', 'light_attracted_ray_rays_circular', 'weight_supports_body_sitting_upper', 'bridges_bridge_charged_used_found']"
21009,navy,3.93,2.7777777777777777,"[3, 3, 2, 3, 3, 4, 3, 3, 1]","['army', 'sumo', 'tank', 'brig', 'rail']","['trains_train_combat_supports_guides', 'rank_ranks_coronet_ranking_matching', 'maritime_shipwrecks_fleet_ships_submarines', 'maritime_subject_laws_port_conducts', 'warfare_missions_tanks_participates_armored', 'military_forces_armed_branch_nation', 'uniforms_wears_uniform_blue_part', 'aircraft_missiles_carriers_airplanes_delivered', 'operates_bases_sea_naval_land']"
36488,wind,3.93,3,"[3, 4, 2, 3]","['coal', 'damn', 'gust', 'news', 'temp']","['weather_patterns_forecasts_influences_affects', 'generation_energy_power_harnessed_hydroelectric', 'felt_physically_felted_objects_seen', 'measured_km_per_mph_hour']"
9810,dump,3.93,3,"[4, 2, 3, 4, 2, 3, 3]","['turd', 'bury', 'damp', 'save', 'moat']","['urban_areas_found_suburban_located', 'environment_environmental_changes_sensitive_impact', 'waste_management_reducing_services_removal', 'disposal_waste_sewage_method_dump', 'attracts_insects_flies_birds_scavengers', 'garbage_pile_piles_deep_automatic', 'odor_smell_odors_emit_emits']"
33018,trim,3.93,3.3333333333333335,"[4, 6, 4, 3, 1, 2]","['chop', 'snip', 'skim', 'dust', 'tall']","['reduces_size_clothing_fit_item', 'removed_remove_cleaning_removes_material', 'cutting_cut_refers_trimmed_small', 'scissors_cutting_clippers_shears_tools', 'grooming_groomed_well_stylist_requires', 'touch_finishing_touches_lightly_touching']"
4857,chew,3.93,3.4,"[6, 4, 1, 4, 2]","['bite', 'mono', 'grin', 'sour', 'gape']","['teeth_chewing_involves_gum_prongs', 'jaw_movable_facial_fixed_stretches', 'food_breaks_bolus_digestible_digestion', 'saliva_salivation_salivary_glands_produced', 'noisy_when_silent_quiet_noise']"
9782,dude,3.93,3.6,"[5, 3, 5, 2, 3]","['gent', 'hers', 'surf', 'dear', 'josh']","['man_male_boyfriend_sir_refers', 'demeanor_personality_temperament_gentle_laid', 'english_language_used_speaking_countries', 'surfers_surfboard_surfer_culture_cutbacks', 'address_used_affectionately_friends_friendly']"
7576,data,3.93,3.6,"[4, 1, 1, 1, 3, 2, 1, 9, 10, 4]","['file', 'snap', 'wall', 'bush', 'nosy']","['computers_processing_computer_processed_executed', 'qualitative_quantitative_qualitatively_quantitatively_quantifiable', 'unstructured_structured_multimedia_imaginative_unorganized', 'analysis_analyzed_study_used_statistical', 'decision_making_used_decisions_snap', 'stored_wallets_databases_folders_banks', 'visualized_graphs_charts_diagrams_using', 'privacy_provides_offers_laws_security', 'digital_analog_physical_digitally_page', 'encrypted_encryption_privacy_security_cryptid']"
32061,test,3.93,3.8181818181818183,"[6, 3, 8, 4, 2, 3, 2, 5, 4, 4, 1]","['exam', 'quiz', 'poll', 'film', 'what']","['scored_scoring_score_graded_points', 'knowledge_skills_measures_assesses_skill', 'written_oral_writing_piece_unwritten', 'anxiety_stress_cause_anxious_induce', 'preparation_requires_require_study_prepared', 'choice_multiple_questions_may_include', 'standardized_guns_dimensions_internationally_representation', 'questions_ended_question_asks_open', 'timed_time_timer_limit_downtime', 'educational_used_education_grading_purposes', 'assessment_assessed_assessments_form_critics']"
29210,slim,3.93,4,"[5, 7, 4, 7, 2, 2, 1]","['nice', 'beau', 'reps', 'glen', 'jock']","['fat_low_content_body_marbled', 'attractiveness_attractive_unattractive_associated_man', 'narrow_wide_width_broad_opposite', 'fitness_physical_promotes_health_bodybuilding', 'objects_describe_used_concepts_resembling', 'health_healthiness_physical_issues_risk', 'electronics_used_charging_devices_phones']"
12427,font,3.93,4.333333333333333,"[7, 3, 5, 2, 2, 8, 5, 4, 3]","['type', 'bold', 'inks', 'ream', 'plot']","['writing_used_books_calligraphy_text', 'italic_bold_italicized_underlined_boldness', 'characters_character_encode_single_special', 'readability_legibility_affects_text_reading', 'serif_sans_font_encoded_fonts', 'printing_used_ink_printmaking_cartridge', 'license_driver_licensed_operate_requires', 'symbols_numbers_uses_notation_letters', 'brand_branding_brands_company_recognition']"
12283,flop,3.93,4.571428571428571,"[7, 7, 7, 2, 3, 3, 3]","['fail', 'hype', 'defy', 'kilt', 'slip']","['disappointment_leads_lead_result_response', 'expectations_expectation_expected_deviation_falling', 'falls_falling_fall_gravity_naturally', 'failure_fail_unsuccessful_failed_defeat', 'loss_financial_result_economic_failure', 'theaters_entertainment_comedy_theater_movies', 'lack_success_underperformance_indicates_imply']"
23711,pink,3.93,4.6,"[8, 3, 6, 3, 3]","['grey', 'vase', 'rose', 'lily', 'teal']","['flowers_flower_roses_produce_bloom', 'vividness_vibrant_bright_vivid_pale', 'color_colored_hair_zygote_fathering', 'femininity_associated_sexuality_females_prominently', 'calming_soothing_effect_soothe_annoying']"
3981,burr,3.93,4.625,"[2, 4, 3, 7, 3, 3, 14, 1]","['bead', 'scat', 'lure', 'prop', 'rash']","['nuisance_hikers_gardeners_pets_unwanted', 'hooks_hook_teeth_hanger_hanging', 'seeds_planting_seed_sowing_preceded', 'fur_covered_hunted_coat_farmed', 'found_environments_outdoors_caves_nature', 'seeds_seed_disperse_pollen_dispersal', 'size_varies_large_small_color', 'round_shape_oval_typically_rounded']"
11121,exit,3.93,4.666666666666667,"[3, 9, 5, 3, 6, 2]","['lift', 'raft', 'auto', 'shed', 'coop']","['way_one_two_unable_find', 'door_doors_open_opening_four', 'signs_sign_marked_signage_advertising', 'emergencies_emergency_used_situations_services', 'buildings_found_ceilings_entrances_often', 'illuminated_lighting_light_visibility_illuminates']"
35892,wail,3.93,4.777777777777778,"[11, 5, 5, 3, 2, 4, 5, 4, 4]","['bawl', 'wept', 'weep', 'babe', 'mope']","['sadness_depression_expresses_sorrow_pain', 'tears_shedding_crying_involves_accompanied', 'disrupt_disruptive_disruption_normal_activities', 'despair_gloom_sense_hopelessness_pessimism', 'reflects_emotional_emotion_emotions_strong', 'heard_distance_distances_long_far', 'cries_cry_crying_communicate_loud', 'mourning_funerals_associated_deceased_respect', 'grief_associated_grieving_pain_mourning']"
4402,case,3.93,6.6,"[10, 5, 6, 10, 4, 10, 5, 7, 5, 4]","['tote', 'tray', 'tent', 'lock', 'pack']","['sizes_comes_various_different_styles', 'compartments_compartment_inside_pockets_tray', 'plastic_made_materials_canvas_paper', 'rectangular_shape_square_round_rectangles', 'waterproof_resistant_water_waterproofed_weatherproofing', 'storage_used_store_storing_equipment', 'carrying_carry_used_items_liquids', 'portable_small_lightweight_compact_durable', 'closed_opened_conserved_open_locked', 'lock_locking_locks_mechanism_padlocks']"
3091,blog,3.92,2.5454545454545454,"[2, 3, 2, 3, 3, 4, 2, 3, 2, 2, 2]","['book', 'mail', 'lose', 'site', 'chat']","['updated_regularly_updates_upgrades_update', 'website_url_hyperlink_web_websites', 'text_contains_articles_posts_words', 'author_authors_publishing_published_publisher', 'topics_science_focus_subject_technology', 'video_multimedia_audio_videos_images', 'internet_accessed_via_proxy_electronic', 'professional_personal_professionalism_assistant_censured', 'advertisements_junk_ads_monetized_mail', 'interactive_friendly_user_digital_preview', 'searchable_search_searching_necessitate_searched']"
29836,spay,3.92,2.5555555555555554,"[4, 2, 2, 6, 3, 1, 1, 1, 3]","['vial', 'coma', 'bred', 'live', 'feed']","['recovery_recover_salvage_uncertain_period', 'animal_humans_affects_animals_pet', 'health_healthiness_physical_issues_risk', 'reproduction_reproductive_reproduce_involves_reproduces', 'sterilized_sterilizes_sterilize_sterilization_animal', 'veterinary_performed_veterinarian_procedure_pets', 'anesthesia_general_requires_experienced_local', 'surgical_surgery_incision_operative_post', 'animals_used_animal_pets_zoos']"
